1;(Dinosaur Planet, 2003)
2;(Isle of Man TT 2004 Review, 2004)
3;(Character, 1997)
4;(Paula Abdul's Get Up & Dance, 1994)
5;(The Rise and Fall of ECW, 2004)
6;(Sick, 1997)
7;(8 Man, 1992)
8;(What the #$*! Do We Know!?, 2004)
9;(Class of Nuke 'Em High 2, 1991)
10;(Fighter, 2001)
11;(Full Frame: Documentary Shorts, 1999)
12;(My Favorite Brunette, 1947)
13;(Lord of the Rings: The Return of the King: Extended Edition: Bonus Material, 2003)
14;(Nature: Antarctica, 1982)
15;(Neil Diamond: Greatest Hits Live, 1988)
16;(Screamers, 1996)
17;(7 Seconds, 2005)
18;(Immortal Beloved, 1994)
19;(By Dawn's Early Light, 2000)
20;(Seeta Aur Geeta, 1972)
21;(Strange Relations, 2002)
22;(Chump Change, 2000)
23;(Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo, 2001)
24;(My Bloody Valentine, 1981)
25;(Inspector Morse 31: Death Is Now My Neighbour, 1997)
26;(Never Die Alone, 2004)
27;(Sesame Street: Elmo's World: The Street We Live On, 1962)
28;(Lilo and Stitch, 2002)
29;(Boycott, 2001)
30;(Something's Gotta Give, 2003)
31;(Classic Albums: Meat Loaf: Bat Out of Hell, 1999)
32;(ABC Primetime: Mel Gibson's The Passion of the Christ, 2004)
33;(Aqua Teen Hunger Force: Vol. 1, 2000)
34;(Ashtanga Yoga: Beginner's Practice with Nicki Doane, 2003)
35;(Ferngully 2: The Magical Rescue, 2000)
36;(Lady Chatterley, 1992)
37;(Zatoichi's Conspiracy, 1973)
38;(Daydream Obsession, 2003)
39;(Love Reinvented, 2000)
40;(Pitcher and the Pin-Up, 2004)
41;(Horror Vision, 2000)
42;(Searching for Paradise, 2002)
43;(Silent Service, 2000)
44;(Spitfire Grill, 1996)
45;(The Love Letter, 1999)
46;(Rudolph the Red-Nosed Reindeer, 1964)
47;(The Bad and the Beautiful, 1952)
48;(Justice League, 2001)
49;(Devo: The Complete Truth About De-evolution, 2003)
50;(A Yank in the R.A.F., 1941)
51;(Jonah: A VeggieTales Movie: Bonus Material, 2002)
52;(The Weather Underground, 2002)
53;(The Bonesetter, 2003)
54;(We're Not Married, 1952)
55;(Jade, 1995)
56;(Carandiru, 2004)
57;(Richard III, 1995)
58;(Dragonheart, 1996)
59;(Sex and the Beauties, 2003)
60;(The Libertine, 1969)
61;(Ricky Martin: One Night Only, 1999)
62;(Ken Burns' America: Empire of the Air, 1991)
63;(Crash Dive, 1943)
64;(Outside the Law, 2001)
65;(Lost in the Pershing Point Hotel, 2000)
66;(Barbarian Queen 2, 1989)
67;(Vampire Journals, 1997)
68;(Invader Zim, 2004)
69;(WWE: Armageddon 2003, 2003)
70;(Tai Chi: The 24 Forms, 1999)
71;(Maya Lin: A Strong Clear Vision, 1995)
72;(At Home Among Strangers, 1974)
